neighbourhood_group,neighbourhood
,Altona
,Angaston
,Bethany
,Buchfelde
,Cockatoo Valley
,Concordia
,Ebenezer
,Eden Valley
,Flaxman Valley
,Freeling
,Gawler Belt
,Gawler River
,Greenock
,Hewett
,Kalbeeba
,Kapunda
,Light Pass
,Lyndoch
,Marananga
,Moculta
,Moppa
,Mount Crawford
,Mount Pleasant
,Nuriootpa
,Penrice
,Roseworthy
,Sandy Creek
,Shea-Oak Log
,Springton
,Stockwell
,Tanunda
,Wasleys
,Williamstown
